id,page,score,smiles,canonical_smiles,smiles_valid,smiles_status,crop_path,source_kind,locator_engine,source_image,warning
antiaromaticity-relief-mediated-intramolecular_p002_img01_c01,2,0.9882,C1=C(C(=C(C=C1Cl)Cl)[C](C2=C(C=C(C=C2Cl)Cl)Cl)C3=C(C=C(C=C3Cl)Cl)Cl)Cl.CC.CC.[Sn],CC.CC.Clc1cc(Cl)c([C](c2c(Cl)cc(Cl)cc2Cl)c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1.[Sn],True,valid,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p002_img01_c01.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p002_img01.png,
antiaromaticity-relief-mediated-intramolecular_p002_img01_c02,2,0.8719,CCCC[N+](CCCC)(CCCC)CCCC.[Mo].[Mo].[Mo].[Mo].[Mo].[Mo],CCCC[N+](CCCC)(CCCC)CCCC.[Mo].[Mo].[Mo].[Mo].[Mo].[Mo],True,valid,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p002_img01_c02.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p002_img01.png,
antiaromaticity-relief-mediated-intramolecular_p002_img01_c03,2,0.9397,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2.C1=CC=C(C=C1)C(=O)C2=CC=CC=C2.C1=CC=C(C=C1)C(=O)C2=CC=CC=C2.[Mn].[Mn].[Mn].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O,,False,low_confidence,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p002_img01_c03.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p002_img01.png,RDKit could not parse predicted SMILES
antiaromaticity-relief-mediated-intramolecular_p003_img01_c01,3,0.9627,C[C-]1N(C(C)(C)C)B(C)N(C(C)(C)C)B(C)N1C(C)(C)C.C[C-]1N(C(C)(C)C)B(C)N(C(C)(C)C)B(C)N1C(C)(C)C.C[C-]1N(C(C)(C)C)B(C)N(C(C)(C)C)B(C)N1C(C)(C)C.C[C-]1N(C(C)(C)C)B(C)N(C(C)(C)C)B(C)N1C(C)(C)C.C[C-]1N(C(C)(C)C)B(C)N(C(C)(C)C)B(C)N1C(C)(C)C.[B][B][B].[B][B][B].[B][B].[B][B].[B][B].[B][B].[B][B].[Y].[Y].[Y].,,False,low_confidence,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p003_img01_c01.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p003_img01.png,RDKit could not parse predicted SMILES
antiaromaticity-relief-mediated-intramolecular_p003_img01_c02,3,0.9014,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,True,too_long,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p003_img01_c02.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p003_img01.png,
antiaromaticity-relief-mediated-intramolecular_p003_img01_c03,3,0.9482,C[Si]1(C)O[Si]2(C)O[Si]3(C)O[Si]4(C)O[Si]5(C)O[Si]6(C)O[Si]7(C)O[Si]8(C)O[Si]9(C)O[Si]%10(C)O[Si]%11(C)O[Si]%12(C)O[Si]%13(C)O[Si]%14(C)O[Si]%15(C)O[Si]%16(C)O[Si]%17(C)O[Si]%18(C)O[Si]%19(C)O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[Si](C)(O[,,False,low_confidence,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p003_img01_c03.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p003_img01.png,RDKit could not parse predicted SMILES
antiaromaticity-relief-mediated-intramolecular_p003_img01_c04,3,0.9929,C1=CC2=C(C=C1)C3=C(C=CC=C3)N(C4=C2C=CC=C4)C5=CC(=C(C(=C5)Cl)[C@@H](C6=C(C=C(C=C6Cl)Cl)Cl)C7=C(C=C(C=C7Cl)Cl)Cl)Cl.[Na+].[Na+].[Na+],Clc1cc(Cl)c(C(c2c(Cl)cc(Cl)cc2Cl)c2c(Cl)cc(N3c4ccccc4-c4ccccc4-c4ccccc43)cc2Cl)c(Cl)c1.[Na+].[Na+].[Na+],True,valid,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p003_img01_c04.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p003_img01.png,
antiaromaticity-relief-mediated-intramolecular_p003_img01_c05,3,0.963,C1=CC2=C(C=C1)N(C3=CC(=C(C(=C3)Cl)[C@@H](C4=C(C=C(C=C4Cl)Cl)Cl)C5=C(C=C(C=C5Cl)Cl)Cl)Cl)C6=C2C=CC=C6,Clc1cc(Cl)c(C(c2c(Cl)cc(Cl)cc2Cl)c2c(Cl)cc(-n3c4ccccc4c4ccccc43)cc2Cl)c(Cl)c1,True,valid,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p003_img01_c05.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p003_img01.png,
antiaromaticity-relief-mediated-intramolecular_p003_img01_c06,3,0.9964,C1=CC2=C(C=C1)N(C3=CC(=C(C(=C3)Cl)[C](C4=C(C=C(C=C4Cl)Cl)Cl)C5=C(C=C(C=C5Cl)Cl)Cl)Cl)C6=C(C=CC=C6)C2.[Br-].[Br-].[In+3],Clc1cc(Cl)c([C](c2c(Cl)cc(Cl)cc2Cl)c2c(Cl)cc(N3c4ccccc4Cc4ccccc43)cc2Cl)c(Cl)c1.[Br-].[Br-].[In+3],True,valid,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p003_img01_c06.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p003_img01.png,
antiaromaticity-relief-mediated-intramolecular_p003_img01_c07,3,0.9178,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)C6=CC=C(C=C6)C7=CC=C(C=C7)C8=CC=C(C=C8)C9=CC=C(C=C9)C%10=CC=C(C=C%10)C%11=CC=C(C=C%11)C%12=CC=C(C=C%12)C%13=CC=C(C=C%13)C%14=CC=C(C=C%14)C%15=CC=C(C=C%15)C%16=CC=C(C=C%16)C%17=CC=C(C=C%17)C%18=CC=C(C=C%18)C%19=CC=C(C=C%19)C%20=CC=C(C=C%2,,False,low_confidence,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p003_img01_c07.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p003_img01.png,RDKit could not parse predicted SMILES
